
# Surface 0 of 2 surfaces

# Curve title: "datafile u ($3 < 0 ? $1 : 1/0):2:4"

# Contour 0, label:     -0.5
 0.99  10.1444 -0.5 
 0.97  10.1444 -0.5 
 0.95  10.1444 -0.5 
 0.93  10.1444 -0.5 
 0.91  10.1444 -0.5 
 0.89  10.1444 -0.5 
 0.87  10.1444 -0.5 
 0.85  10.1444 -0.5 
 0.83  10.1444 -0.5 
 0.81  10.1444 -0.5 
 0.79  10.1444 -0.5 
 0.77  10.1444 -0.5 
 0.75  10.1444 -0.5 
 0.73  10.1444 -0.5 
 0.71  10.1444 -0.5 
 0.69  10.1444 -0.5 
 0.67  10.1444 -0.5 
 0.65  10.1444 -0.5 
 0.63  10.1444 -0.5 
 0.61  10.1444 -0.5 
 0.59  10.1444 -0.5 
 0.57  10.1444 -0.5 
 0.55  10.1444 -0.5 
 0.53  10.1444 -0.5 
 0.51  10.1444 -0.5 
 0.49  10.1444 -0.5 
 0.47  10.1444 -0.5 
 0.45  10.1444 -0.5 
 0.43  10.1444 -0.5 
 0.41  10.1444 -0.5 
 0.39  10.1444 -0.5 
 0.37  10.1444 -0.5 
 0.35  10.1444 -0.5 
 0.33  10.1444 -0.5 
 0.31  10.1444 -0.5 
 0.29  10.1444 -0.5 
 0.27  10.1444 -0.5 
 0.25  10.1444 -0.5 
 0.23  10.1444 -0.5 
 0.21  10.1444 -0.5 
 0.19  10.1444 -0.5 
 0.17  10.1444 -0.5 
 0.15  10.1444 -0.5 
 0.13  10.1444 -0.5 
 0.11  10.1444 -0.5 
 0.09  10.1444 -0.5 
 0.07  10.1444 -0.5 
 0.05  10.1444 -0.5 
 0.03  10.1444 -0.5 
 0.01  10.1444 -0.5 


# Contour 1, label:       -1
 0.99  8.52668 -1 
 0.97  8.52668 -1 
 0.95  8.52668 -1 
 0.93  8.52668 -1 
 0.91  8.52668 -1 
 0.89  8.52668 -1 
 0.87  8.52668 -1 
 0.85  8.52668 -1 
 0.83  8.52668 -1 
 0.81  8.52668 -1 
 0.79  8.52668 -1 
 0.77  8.52668 -1 
 0.75  8.52668 -1 
 0.73  8.52668 -1 
 0.71  8.52668 -1 
 0.69  8.52668 -1 
 0.67  8.52668 -1 
 0.65  8.52668 -1 
 0.63  8.52668 -1 
 0.61  8.52668 -1 
 0.59  8.52668 -1 
 0.57  8.52668 -1 
 0.55  8.52668 -1 
 0.53  8.52668 -1 
 0.51  8.52668 -1 
 0.49  8.52668 -1 
 0.47  8.52668 -1 
 0.45  8.52668 -1 
 0.43  8.52668 -1 
